OrderID,Date,CustomerID,Region,Category,Channel,Units,Revenue,Cost,Profit
10001,2025-01-02,C001,Kyiv,Diagnostics,Online,1,1846.80,1034.21,812.59
10002,2025-01-04,C004,West,Corporate,Direct,2,5157.15,3104.82,2052.33
10003,2025-01-06,C007,Central,Wellness,Partner,3,3167.42,2045.63,1121.79
10004,2025-01-08,C010,South,Diagnostics,Online,4,5863.80,4054.75,1809.05
10005,2025-01-10,C013,Kyiv,Corporate,Direct,5,16816.80,9417.41,7399.39
10006,2025-01-12,C016,West,Wellness,Partner,1,1274.00,767.00,507.00
10007,2025-01-14,C019,Central,Diagnostics,Online,2,3013.98,1946.53,1067.45
10008,2025-01-16,C022,South,Corporate,Direct,3,7968.42,5510.08,2458.34
10009,2025-01-18,C025,Kyiv,Wellness,Partner,4,5616.00,3144.96,2471.04
10010,2025-01-20,C028,West,Diagnostics,Online,5,7708.68,4640.94,3067.74
10011,2025-01-22,C031,Central,Corporate,Direct,1,2322.78,1500.13,822.65
10012,2025-01-24,C034,South,Wellness,Partner,2,2228.93,1541.28,687.65
10013,2025-02-03,C003,West,Wellness,Partner,2,2296.32,1411.28,885.04
10014,2025-02-05,C006,Central,Diagnostics,Online,3,4079.58,2690.79,1388.79
10015,2025-02-07,C009,South,Corporate,Direct,4,10433.28,6781.63,3651.65
10016,2025-02-09,C012,Kyiv,Wellness,Partner,5,7491.12,4280.64,3210.48
10017,2025-02-11,C015,West,Diagnostics,Online,1,1641.60,1008.90,632.70
10018,2025-02-13,C018,Central,Corporate,Direct,2,4935.90,3255.60,1680.30
10019,2025-02-15,C021,South,Wellness,Partner,3,3853.20,2504.58,1348.62
10020,2025-02-17,C024,Kyiv,Diagnostics,Online,4,7239.46,4136.83,3102.63
10021,2025-02-19,C027,West,Corporate,Direct,5,12629.76,7762.04,4867.72
10022,2025-02-21,C030,Central,Wellness,Partner,1,1033.81,681.88,351.93
10023,2025-02-23,C033,South,Diagnostics,Online,2,3119.04,2027.38,1091.66
10024,2025-02-25,C036,Kyiv,Corporate,Direct,3,9888.28,5650.44,4237.84
10025,2025-03-04,C005,Central,Corporate,Direct,3,7258.68,4500.38,2758.30
10026,2025-03-06,C008,South,Wellness,Partner,4,4647.55,3082.56,1564.99
10027,2025-03-08,C011,Kyiv,Diagnostics,Online,5,9652.61,5630.69,4021.92
10028,2025-03-10,C014,West,Corporate,Direct,1,2688.40,1687.40,1001.00
10029,2025-03-12,C017,Central,Wellness,Partner,2,2386.80,1479.82,906.98
10030,2025-03-14,C020,South,Diagnostics,Online,3,4967.07,3294.49,1672.58
10031,2025-03-16,C023,Kyiv,Corporate,Direct,4,11860.99,6918.91,4942.08
10032,2025-03-18,C026,West,Wellness,Partner,5,5621.20,3528.20,2093.00
10033,2025-03-20,C029,Central,Diagnostics,Online,1,1446.66,896.93,549.73
10034,2025-03-22,C032,South,Corporate,Direct,2,5112.31,3390.82,1721.49
10035,2025-03-24,C035,Kyiv,Wellness,Partner,3,4402.94,2568.38,1834.56
10036,2025-03-02,C038,West,Diagnostics,Online,4,6429.60,4035.60,2394.00
10037,2025-04-05,C007,South,Diagnostics,Online,4,5988.56,4054.75,1933.81
10038,2025-04-07,C010,Kyiv,Corporate,Direct,5,15807.79,9417.41,6390.38
10039,2025-04-09,C013,West,Wellness,Partner,1,1300.00,767.00,533.00
10040,2025-04-11,C016,Central,Diagnostics,Online,2,3076.77,1946.53,1130.24
10041,2025-04-13,C019,South,Corporate,Direct,3,8137.96,5510.08,2627.88
10042,2025-04-15,C022,Kyiv,Wellness,Partner,4,5279.04,3144.96,2134.08
10043,2025-04-17,C025,West,Diagnostics,Online,5,7866.00,4640.94,3225.06
10044,2025-04-19,C028,Central,Corporate,Direct,1,2371.17,1500.13,871.04
10045,2025-04-21,C031,South,Wellness,Partner,2,2276.35,1541.28,735.07
10046,2025-04-23,C034,Kyiv,Diagnostics,Online,3,5670.91,3378.41,2292.50
10047,2025-04-25,C037,West,Corporate,Direct,4,11440.00,6749.60,4690.40
10048,2025-04-03,C040,Central,Wellness,Partner,5,5847.66,3699.54,2148.12
