Month,RevenueTarget,ProfitTarget
2025-01-01,61725.06,24034.25
2025-02-01,71387.00,27771.83
2025-03-01,69133.80,26733.66
2025-04-01,73560.97,28424.46
2025-05-01,70332.79,27875.80
2025-06-01,65299.51,25142.43
2025-07-01,61197.93,23424.25
2025-08-01,72596.34,28258.08
2025-09-01,75493.15,29143.07
2025-10-01,64550.46,24514.87
2025-11-01,61647.15,23555.40
2025-12-01,66348.12,25167.21
2026-01-01,67952.95,25419.37
2026-02-01,73033.20,27804.55
2026-03-01,69752.44,26282.33
2026-04-01,58978.89,22036.69
2026-05-01,69109.83,26138.01
2026-06-01,68027.13,25827.26
2026-07-01,71842.83,27373.80
2026-08-01,68878.59,26178.32
